sample_id,onset,offset,label
0,0.0,10.0,29
1,0.0,10.0,18
2,0.0,10.0,27
4,0.04,9.3,84
5,5.0,10.0,17
6,0.0,5.0,17
7,3.5,6.5,50
9,2.36,7.64,44
15,0.47,10.0,58
16,0.0,9.53,58
17,3.34,10.0,32
18,0.0,10.0,32
19,0.0,10.0,32
20,0.0,6.66,32
21,0.01,10.0,11
22,0.01,10.0,36
23,0.0,10.0,36
24,0.0,10.0,36
25,0.0,10.0,36
26,5.38,10.0,2
27,0.0,8.84,2
31,3.98,10.0,67
32,0.0,6.02,67
33,3.11,7.67,35
34,0.0,10.0,2
35,0.0,10.0,2
36,0.0,10.0,2
39,3.02,6.98,84
40,1.5,5.0,45
44,2.84,10.0,52
45,0.0,7.17,52
47,0.0,10.0,22
48,0.0,10.0,48
49,1.09,9.5,61
50,2.0,9.3,23
51,0.0,9.0,17
55,2.48,10.0,26
56,0.04,10.0,38
57,4.88,10.0,49
58,0.0,10.0,49
59,0.0,10.0,49
60,0.0,9.59,49
61,3.47,6.53,23
62,0.1,10.0,67
69,3.01,10.0,32
70,0.0,6.98,32
71,2.77,9.63,32
72,0.02,10.0,41
73,0.0,7.98,41
75,1.31,10.0,2
76,0.0,10.0,2
77,0.28,10.0,63
78,0.28,10.0,2
79,0.0,10.0,2
80,1.18,8.38,61
81,0.2,9.8,5
82,0.7,10.0,13
86,0.14,4.77,21
87,4.48,10.0,45
88,0.0,10.0,45
89,0.0,9.57,45
94,4.97,10.0,61
101,0.6,10.0,24
102,0.0,10.0,24
103,0.0,10.0,24
104,0.0,10.0,24
105,0.0,9.4,24
106,0.84,10.0,44
107,0.0,10.0,44
108,0.0,10.0,44
110,0.0,10.0,72
111,0.0,7.59,72
112,0.49,10.0,43
113,0.0,10.0,43
114,0.0,10.0,43
115,0.0,10.0,43
119,5.29,10.0,16
120,4.65,10.0,72
121,0.0,5.54,72
122,8.04,10.0,25
123,0.0,10.0,25
124,0.0,10.0,25
125,0.0,10.0,25
126,0.0,9.4,25
127,0.01,4.2,16
128,2.17,10.0,6
129,0.0,10.0,6
130,0.0,7.82,6
131,0.16,10.0,8
132,0.0,9.98,8
133,0.0,10.0,25
134,3.86,10.0,42
135,0.0,10.0,42
136,0.0,6.13,42
137,0.28,10.0,45
138,0.0,7.48,45
139,1.39,4.65,45
140,0.0,10.0,44
142,2.28,7.73,44
144,0.5,10.0,73
145,0.0,10.0,13
146,0.0,10.0,13
147,0.0,10.0,13
148,0.0,10.0,13
149,6.3,10.0,76
150,0.0,9.98,76
152,3.76,9.86,73
153,0.56,10.0,13
154,0.0,10.0,13
155,0.0,10.0,13
156,0.69,10.0,26
157,0.0,10.0,26
158,2.88,7.65,59
159,2.53,7.47,73
162,2.44,7.56,71
163,1.25,8.75,52
164,0.0,8.07,41
165,5.23,9.95,39
166,0.47,5.02,62
167,0.54,10.0,26
168,0.0,10.0,26
169,0.0,7.03,26
176,3.94,6.06,78
177,0.0,8.29,71
178,0.0,10.0,28
179,0.0,10.0,28
180,0.0,10.0,28
181,0.0,10.0,28
182,0.82,7.31,19
184,1.44,8.56,10
185,0.0,10.0,28
186,0.0,10.0,28
187,0.0,10.0,28
188,0.0,10.0,28
189,0.0,10.0,28
190,0.0,10.0,28
191,0.15,10.0,43
193,4.88,8.74,32
195,3.83,6.17,72
200,0.0,10.0,28
204,3.97,5.44,17
205,1.26,8.82,41
208,0.0,10.0,56
209,0.0,10.0,56
210,0.0,10.0,56
213,0.48,9.52,21
220,0.32,9.68,56
221,2.67,5.6,41
222,0.0,3.73,19
223,1.63,10.0,13
224,0.0,10.0,13
226,3.01,7.0,62
227,2.16,7.84,35
228,0.1,10.0,13
229,3.52,8.1,35
230,2.08,5.26,23
231,3.53,10.0,45
232,0.0,3.97,45
233,0.75,10.0,23
234,0.0,10.0,23
235,0.0,2.45,23
236,4.32,5.68,45
237,0.0,10.0,44
238,0.0,10.0,19
239,3.58,9.99,3
240,2.65,10.0,10
241,0.0,6.99,10
246,6.02,9.49,32
247,8.59,9.97,40
248,1.36,10.0,72
252,0.19,7.28,82
253,1.2,8.8,16
254,0.86,10.0,26
260,2.0,8.01,61
261,0.52,9.48,58
264,0.31,3.19,22
265,0.31,9.69,45
266,0.0,10.0,76
267,0.0,10.0,76
268,0.0,2.55,76
269,0.0,10.0,8
270,0.0,10.0,8
271,0.0,10.0,8
272,0.0,10.0,8
273,1.22,8.77,23
279,0.0,3.98,25
288,4.65,10.0,44
289,0.0,6.38,44
291,3.57,6.43,73
299,0.0,10.0,2
300,0.0,10.0,2
301,0.0,10.0,8
302,0.0,10.0,8
303,0.0,9.96,8
304,4.37,9.77,32
305,0.0,10.0,8
306,0.0,10.0,8
307,0.0,10.0,8
308,0.0,10.0,8
310,3.06,6.94,32
311,0.0,10.0,58
312,0.0,10.0,58
313,0.0,10.0,58
314,0.0,10.0,13
315,0.0,10.0,13
321,0.03,9.97,25
322,0.0,10.0,23
323,0.0,8.59,23
324,0.0,8.53,82
325,0.0,10.0,19
326,0.0,10.0,19
329,0.12,10.0,82
331,5.78,9.98,17
333,6.15,10.0,11
334,0.0,9.98,11
335,0.0,10.0,82
340,0.0,6.04,19
341,0.0,10.0,51
342,1.19,10.0,17
343,0.0,9.18,17
345,0.0,3.52,69
354,0.0,10.0,74
355,0.0,10.0,74
356,3.56,10.0,11
357,0.0,10.0,11
358,0.0,9.99,11
359,1.99,5.06,10
360,0.0,10.0,25
361,0.0,10.0,8
362,0.0,5.55,82
363,0.01,10.0,52
364,0.0,9.99,52
365,0.0,10.0,18
366,0.0,10.0,18
367,0.0,10.0,18
368,0.0,10.0,18
369,0.0,10.0,18
371,2.24,10.0,25
372,0.0,10.0,25
373,0.0,10.0,25
374,0.0,10.0,25
375,0.0,9.99,25
376,0.0,10.0,15
380,1.69,10.0,61
381,0.0,10.0,61
382,0.0,10.0,61
383,0.0,8.32,61
384,1.4,7.11,32
385,0.06,9.73,32
389,2.24,7.75,6
390,1.58,10.0,42
391,0.0,7.91,42
393,3.79,6.21,17
394,0.0,5.89,40
395,5.22,9.83,84
396,0.75,10.0,2
397,0.0,10.0,2
398,0.0,9.24,2
399,0.01,10.0,25
400,1.87,8.67,23
401,1.34,10.0,61
402,0.0,8.66,61
403,6.33,10.0,5
404,0.0,10.0,5
405,0.0,9.99,5
414,4.35,6.29,64
415,0.13,10.0,34
416,6.41,10.0,83
417,0.0,8.55,83
418,0.06,10.0,18
419,0.0,10.0,18
420,0.06,10.0,68
421,0.0,10.0,68
422,0.0,10.0,68
423,0.0,10.0,68
424,0.0,10.0,68
425,0.03,8.08,42
426,8.1,10.0,22
427,1.02,8.98,5
428,0.01,10.0,36
429,0.0,10.0,36
430,0.01,10.0,31
431,0.0,10.0,31
432,0.0,10.0,31
433,0.0,10.0,31
435,0.04,10.0,82
436,0.0,10.0,82
441,0.01,10.0,82
442,0.0,10.0,82
447,0.45,10.0,43
448,0.0,10.0,43
449,0.0,9.54,43
450,3.02,9.99,1
451,0.77,10.0,5
452,0.0,10.0,5
453,0.0,10.0,5
454,0.0,10.0,5
455,0.0,9.24,5
456,0.0,9.33,67
457,1.68,8.32,5
458,0.0,10.0,41
459,0.09,10.0,31
460,8.31,10.0,84
461,0.0,9.87,84
462,0.0,10.0,36
463,0.0,10.0,36
464,0.0,10.0,36
467,0.0,8.68,84
468,0.06,10.0,43
469,0.14,10.0,78
470,0.14,10.0,11
472,0.79,10.0,26
473,0.0,10.0,26
474,0.0,10.0,26
475,0.0,9.21,26
476,0.93,10.0,66
477,0.0,10.0,66
486,6.88,10.0,34
487,0.0,10.0,25
488,0.05,10.0,77
490,4.35,10.0,13
491,0.07,10.0,26
492,0.0,10.0,26
493,0.0,10.0,26
494,0.0,10.0,26
496,0.15,7.76,21
500,4.86,10.0,85
501,3.84,10.0,37
502,0.0,10.0,37
503,1.57,10.0,13
504,1.61,10.0,25
505,0.0,10.0,25
506,0.0,8.4,25
507,3.5,10.0,38
508,0.0,10.0,72
514,1.38,10.0,85
515,0.0,10.0,85
516,0.22,10.0,11
519,0.0,10.0,31
520,0.0,10.0,31
521,0.0,10.0,31
522,0.0,10.0,31
523,0.0,10.0,31
524,4.74,10.0,3
525,0.0,10.0,3
526,0.0,10.0,3
527,0.0,10.0,3
528,0.0,8.5,85
529,0.0,10.0,49
530,0.0,10.0,49
531,0.0,10.0,49
532,0.0,10.0,36
533,0.0,10.0,36
534,0.0,10.0,36
535,0.1,9.9,3
536,0.01,9.98,19
540,0.56,7.64,69
541,1.44,10.0,58
542,0.0,10.0,58
543,0.42,10.0,19
544,0.21,9.78,39
545,1.0,10.0,10
546,0.77,7.59,17
547,0.98,10.0,13
548,0.0,10.0,13
550,0.16,3.24,35
551,0.77,9.22,58
552,1.8,10.0,77
553,0.0,8.2,77
556,0.09,10.0,5
557,0.0,4.96,5
558,3.82,10.0,7
559,0.0,10.0,7
560,0.0,10.0,7
561,4.09,9.11,3
563,2.01,10.0,75
564,0.0,10.0,75
565,0.0,10.0,75
566,0.5,10.0,41
567,0.0,10.0,41
568,0.99,10.0,24
569,1.3,8.7,6
570,6.21,9.99,73
577,0.8,10.0,19
578,0.0,10.0,19
579,0.0,10.0,19
580,0.0,10.0,19
584,1.3,10.0,63
585,0.0,8.7,63
591,1.76,10.0,56
592,0.0,9.3,56
593,3.84,10.0,44
594,0.0,6.17,44
595,1.78,9.76,17
596,4.02,10.0,55
597,0.0,10.0,55
598,0.0,10.0,55
599,0.28,10.0,62
602,0.17,10.0,43
603,0.0,10.0,43
604,0.0,10.0,43
605,0.0,10.0,43
606,0.0,9.83,43
618,0.29,10.0,23
619,0.0,10.0,23
622,0.74,10.0,72
623,0.0,10.0,72
625,4.01,10.0,33
626,0.0,10.0,33
627,0.0,10.0,33
628,0.0,10.0,33
629,1.23,3.58,37
632,2.03,10.0,61
633,0.0,7.97,61
634,0.48,10.0,45
635,0.0,10.0,45
636,0.0,10.0,45
637,0.0,10.0,45
638,0.0,9.52,45
639,3.33,6.67,5
640,1.22,8.78,7
646,3.25,10.0,54
647,0.0,6.75,54
648,0.0,10.0,63
649,0.0,10.0,63
656,2.06,10.0,25
657,0.0,7.94,25
658,0.1,10.0,30
659,0.0,10.0,30
660,0.92,6.87,41
662,0.6,10.0,27
663,0.0,10.0,27
664,0.0,10.0,27
666,0.0,10.0,64
668,0.0,8.33,54
669,0.15,10.0,54
670,0.0,9.85,54
674,0.0,10.0,71
675,0.0,10.0,71
676,0.0,10.0,73
677,0.0,10.0,73
679,0.04,9.96,73
682,0.5,3.5,73
685,0.33,9.99,44
687,0.0,10.0,22
688,0.0,10.0,22
689,0.0,10.0,22
690,1.58,9.08,17
692,0.0,3.99,32
693,0.0,3.88,71
694,0.82,9.18,32
695,0.71,9.29,17
696,0.13,10.0,32
697,0.02,4.5,17
698,0.02,4.44,73
699,3.51,10.0,71
700,0.0,8.7,71
701,2.61,7.39,10
702,0.36,2.89,17
703,2.3,7.7,44
704,0.01,1.95,32
705,0.01,2.43,17
706,0.01,10.0,32
707,4.16,10.0,32
708,2.49,10.0,44
709,0.0,7.51,44
710,0.0,2.28,71
711,4.77,10.0,23
712,0.0,5.23,23
713,3.04,6.96,17
714,2.8,7.2,23
715,6.26,9.05,65
716,0.03,7.12,15
717,0.07,10.0,11
718,0.07,9.1,68
721,5.63,9.99,23
726,4.58,6.56,35
728,0.0,10.0,7
730,0.01,4.43,85
731,0.01,10.0,11
732,0.0,10.0,11
734,0.01,10.0,60
735,0.0,10.0,60
738,0.02,8.08,63
739,7.68,9.99,32
740,0.05,9.95,59
744,3.38,7.73,6
749,0.0,10.0,14
750,0.1,10.0,11
751,0.0,10.0,11
752,0.0,10.0,11
753,0.0,10.0,11
754,0.0,1.82,11
755,0.1,10.0,38
756,0.0,10.0,38
757,0.1,10.0,82
758,0.0,10.0,36
759,0.0,10.0,11
760,7.63,9.99,72
762,0.0,10.0,85
763,2.05,10.0,70
764,0.0,7.95,70
765,0.01,10.0,36
766,0.0,10.0,36
767,0.01,10.0,13
768,0.0,10.0,13
769,0.01,10.0,55
770,0.0,10.0,55
771,0.0,10.0,55
772,0.0,10.0,67
778,0.68,9.32,41
779,0.0,10.0,76
785,0.16,10.0,82
786,0.0,10.0,82
787,0.09,9.93,9
789,2.71,10.0,85
790,0.0,9.95,85
791,0.1,10.0,68
792,0.0,10.0,68
793,0.0,10.0,68
798,0.8,5.39,73
802,0.0,9.13,19
803,0.0,4.88,65
804,8.25,10.0,66
805,2.0,5.0,9
806,3.56,10.0,54
807,0.0,6.44,54
808,0.8,10.0,64
809,0.0,9.2,64
810,0.06,10.0,11
811,0.0,10.0,11
812,0.0,10.0,35
813,2.27,7.73,67
814,0.06,10.0,11
815,0.0,10.0,11
816,0.0,4.1,11
817,0.06,1.45,71
818,0.06,8.21,23
822,0.29,9.71,73
823,1.9,8.1,36
826,0.01,3.7,46
827,0.01,10.0,36
828,0.0,10.0,36
829,0.0,10.0,36
830,0.0,10.0,36
831,0.01,5.67,62
832,0.01,10.0,80
833,0.0,10.0,80
836,7.24,9.54,67
843,0.0,10.0,41
847,0.02,10.0,19
848,0.0,10.0,19
849,0.0,10.0,19
850,0.0,10.0,19
851,0.0,10.0,19
852,2.04,10.0,19
853,4.19,10.0,63
854,0.0,10.0,63
855,0.0,6.72,63
856,1.68,10.0,61
857,0.0,9.94,61
858,4.67,10.0,78
859,0.0,5.33,78
860,0.0,9.98,32
861,0.0,2.45,67
862,2.65,10.0,23
863,0.0,10.0,23
864,0.0,10.0,23
865,0.0,7.35,23
867,1.37,10.0,4
868,0.0,10.0,4
869,0.02,3.89,23
876,2.12,10.0,68
877,0.0,10.0,68
878,0.0,9.44,68
880,2.51,7.48,69
881,0.0,8.78,20
882,0.79,10.0,42
883,2.39,10.0,8
884,0.0,10.0,8
885,0.0,10.0,8
886,0.0,10.0,8
887,0.0,10.0,8
889,1.08,10.0,45
890,0.0,10.0,45
891,0.12,10.0,57
892,0.0,10.0,57
893,0.0,10.0,57
894,0.0,9.88,57
895,2.56,10.0,23
896,0.0,10.0,23
897,0.0,10.0,23
898,0.0,10.0,23
899,4.34,5.65,68
902,0.02,10.0,82
903,7.06,10.0,2
904,0.14,10.0,32
905,0.0,10.0,32
906,0.0,2.29,32
907,0.1,10.0,43
908,0.0,10.0,43
909,0.0,10.0,43
910,0.0,10.0,43
911,0.0,9.99,43
912,0.99,10.0,61
913,0.0,10.0,61
914,0.0,10.0,61
915,0.0,9.84,61
916,0.03,10.0,36
917,2.3,6.54,73
918,0.0,10.0,36
919,0.0,10.0,36
920,0.0,10.0,36
923,1.49,8.51,72
924,4.98,10.0,3
925,0.0,10.0,3
926,0.0,10.0,3
927,0.0,10.0,3
928,0.0,9.95,3
929,3.39,10.0,31
930,0.0,10.0,31
932,2.82,6.11,44
933,0.48,10.0,4
934,0.9,9.09,44
937,1.46,8.55,23
939,0.0,7.03,23
940,2.96,8.26,23
941,0.0,10.0,63
947,0.0,10.0,55
948,0.0,10.0,55
949,0.0,10.0,55
950,0.0,10.0,55
951,0.0,10.0,55
954,1.66,8.34,45
958,0.02,6.45,84
959,3.66,6.34,19
966,3.0,10.0,8
967,7.24,10.0,35
969,1.87,10.0,80
970,0.0,10.0,80
971,0.26,10.0,47
972,0.0,10.0,47
973,0.0,10.0,38
974,0.0,10.0,38
975,0.0,10.0,43
976,0.0,10.0,43
982,4.55,10.0,38
983,0.01,10.0,50
984,0.01,10.0,50
985,0.0,10.0,50
986,3.91,5.93,35
987,2.52,7.47,70
988,2.0,10.0,45
989,0.0,7.85,45
990,2.58,10.0,49
991,0.0,10.0,49
992,0.0,10.0,49
993,0.0,9.84,49
994,0.0,10.0,43
995,0.0,10.0,43
996,0.0,10.0,43
997,0.86,9.15,35
1008,4.77,6.26,72
1014,1.55,8.44,1
1017,0.57,10.0,41
1018,0.0,10.0,41
1019,0.57,10.0,49
1020,0.0,10.0,49
1021,0.0,10.0,49
1022,0.0,10.0,49
1023,0.0,10.0,49
1024,0.02,10.0,69
1025,0.0,10.0,69
1026,0.0,10.0,69
1027,0.0,10.0,69
1028,0.0,10.0,69
1029,0.02,10.0,9
1030,4.37,5.63,65
1031,1.44,8.57,44
1037,3.0,10.0,8
1038,3.04,10.0,69
1039,0.0,10.0,69
1040,0.0,10.0,69
1041,0.0,10.0,69
1042,0.0,9.94,69
1044,0.15,10.0,51
1045,0.0,10.0,51
1046,0.0,10.0,51
1047,0.0,10.0,2
1048,0.0,10.0,2
1049,0.0,10.0,2
1050,2.99,7.01,45
1051,0.14,9.86,35
1058,3.81,10.0,15
1059,0.0,6.18,15
1061,6.73,8.05,50
1064,4.4,10.0,63
1065,0.0,10.0,63
1066,0.0,10.0,63
1067,0.0,10.0,63
1068,0.0,9.93,63
1069,1.0,6.93,38
1070,0.0,10.0,73
1071,0.0,10.0,73
1072,0.0,2.93,73
1073,4.0,9.17,24
1074,1.92,8.09,24
1079,1.28,10.0,62
1081,2.57,10.0,78
1082,0.0,10.0,78
1083,0.0,9.99,78
1084,0.11,10.0,64
1085,0.0,6.85,83
1087,0.0,10.0,29
1088,4.53,10.0,2
1089,0.0,10.0,2
1090,0.0,10.0,2
1091,0.0,10.0,2
1092,3.76,10.0,68
1093,0.0,6.24,68
1096,1.32,8.89,28
1097,5.4,10.0,60
1098,0.0,10.0,60
1099,0.0,7.8,60
1100,2.42,10.0,39
1101,0.0,7.58,39
1102,0.0,10.0,63
1103,0.0,10.0,63
1104,0.0,10.0,63
1105,2.15,10.0,70
1108,0.0,10.0,2
1110,2.8,10.0,49
1111,0.0,10.0,49
1112,0.0,10.0,49
1113,0.0,10.0,49
1114,0.08,6.75,20
1116,1.5,8.5,16
1117,1.69,10.0,31
1118,0.0,10.0,31
1119,0.0,10.0,31
1120,0.44,10.0,29
1121,0.0,10.0,29
1122,0.0,10.0,29
1123,0.0,10.0,29
1124,1.64,10.0,6
1125,3.63,10.0,19
1126,0.0,6.37,19
1127,2.34,7.65,16
1128,3.9,9.99,64
1130,0.0,5.7,62
1131,0.0,10.0,39
1132,0.0,10.0,4
1133,2.57,10.0,35
1135,0.17,10.0,82
1136,0.01,10.0,19
1137,2.11,10.0,16
1138,0.0,10.0,16
1139,0.0,10.0,16
1140,0.0,9.65,16
1144,3.53,6.46,56
1145,0.0,4.29,22
1152,4.82,9.17,78
1153,0.02,5.17,63
1154,3.22,4.71,46
1155,2.1,10.0,11
1156,0.0,10.0,11
1157,0.0,10.0,11
1158,0.0,10.0,11
1159,0.0,10.0,11
1160,1.64,10.0,13
1161,0.0,10.0,13
1162,0.0,10.0,13
1163,0.0,10.0,13
1164,0.0,10.0,13
1165,0.01,10.0,26
1166,0.0,10.0,26
1167,0.0,10.0,26
1168,0.0,10.0,26
1169,0.01,10.0,49
1170,0.0,10.0,49
1171,0.0,10.0,49
1172,0.0,10.0,49
1173,0.0,10.0,49
1174,2.34,10.0,57
1175,0.0,10.0,57
1176,0.0,10.0,57
1177,0.0,10.0,57
1178,0.0,9.98,57
1179,0.0,10.0,74
1180,0.0,10.0,12
1181,0.0,10.0,12
1182,0.0,10.0,12
1183,0.0,10.0,12
1184,0.0,10.0,12
1185,0.0,5.97,12
1186,0.0,10.0,78
1187,0.15,10.0,73
1188,0.0,9.84,73
1189,0.94,10.0,52
1190,0.0,9.06,52
1191,0.05,7.94,19
1192,0.43,9.58,46
1194,0.03,10.0,56
1195,0.0,10.0,56
1196,0.0,10.0,56
1197,0.0,10.0,56
1198,0.0,10.0,56
1199,0.0,10.0,56
1200,0.0,10.0,56
1201,0.0,10.0,56
1202,6.37,10.0,19
1203,0.0,10.0,19
1204,0.0,6.67,19
1205,4.22,5.78,63
1206,2.58,10.0,3
1207,0.0,10.0,3
1208,0.0,10.0,3
1209,0.0,10.0,3
1210,0.0,10.0,3
1211,0.27,10.0,41
1212,0.0,9.81,41
1213,3.41,6.58,78
1214,0.22,10.0,9
1215,0.22,2.36,10
1216,0.22,10.0,82
